attribution,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
knowledge_insufficiency,True,True,True,a Japanese Bizen stoneware vase,"a Japanese Bizen stoneware vase with an unglazed reddish-brown body marked by natural ash deposits and flame flashes, showing an austere asymmetrical form",a French Puisaye stoneware vase,"a French Puisaye stoneware vase with a dark salt-glazed stoneware body and earthy brown-to-gray surface, showing incised bands and robust hand-thrown proportions",3,2,True,False,False,True,3032,pair_029_native_SS_g3_r2_s3032,pair_029,29,3,2,True,False,False,True,2,sample_0024,3,pair_029_standalone_A_g3_r2_s3032,pair_029_standalone_B_g3_r2_s3032
knowledge_insufficiency,True,False,True,a Japanese Tsugaru-nuri lacquerware box,"a Japanese Tsugaru-nuri lacquerware box with many polished lacquer layers forming mottled red, black, yellow, and green patterns across a geometric form",a Kashmiri papier-mâché lacquer box,"a Kashmiri papier-mâché lacquer box with a lacquered paper-pulp body painted in gold and jewel colors, showing chinar leaves, flowers, and arabesques",3,3,True,False,True,True,1011,pair_039_native_SS_g1_r1_s1011,pair_039,39,2,4,True,False,True,True,1,sample_0028,1,pair_039_standalone_A_g1_r1_s1011,pair_039_standalone_B_g1_r1_s1011
knowledge_insufficiency,True,False,True,a Panamanian mola textile panel,"a Panamanian mola textile panel made with layered reverse appliqué in colors, showing animals, plants, and maze-like geometric contours",a Ukrainian Hutsul embroidery panel,"a Ukrainian Hutsul embroidery panel worked in cross-stitch with red, orange, black, and green thread, showing diamonds, hooks, and repeated geometric bands",1,2,True,False,True,True,3032,pair_079_native_SS_g3_r2_s3032,pair_079,79,2,4,True,False,True,True,2,sample_0029,3,pair_079_standalone_A_g3_r2_s3032,pair_079_standalone_B_g3_r2_s3032
knowledge_insufficiency,True,False,True,an Ottoman tinned-copper ewer,"an Ottoman tinned-copper ewer with a reflective silver-toned tinned surface, tall curved spout, and chased tulip, cypress, and arabesque decoration",a Bosnian engraved-copper coffee ewer,"a Bosnian engraved-copper coffee ewer with a copper body, long curved spout, and hand-hammered rosette, star, and interlaced geometric motifs",2,3,True,False,True,True,3031,pair_052_native_SS_g3_r1_s3031,pair_052,52,2,4,True,False,True,True,1,sample_0047,3,pair_052_standalone_A_g3_r1_s3031,pair_052_standalone_B_g3_r1_s3031
knowledge_insufficiency,True,True,True,a Japanese Raku tea bowl,"a Japanese Raku tea bowl with a hand-shaped low-fired body and irregular black glaze, showing a warped rim and tactile matte-to-gloss surface",a Korean buncheong tea bowl,"a Korean buncheong tea bowl made of gray stoneware brushed with white slip, showing stamped, incised, or freely painted decoration beneath a translucent glaze",2,2,True,False,False,True,1011,pair_021_native_SS_g1_r1_s1011,pair_021,21,2,3,True,False,False,True,1,sample_0062,1,pair_021_standalone_A_g1_r1_s1011,pair_021_standalone_B_g1_r1_s1011
knowledge_insufficiency,False,True,True,a Chinese lacquered folding screen,"a Chinese lacquered folding screen with deep black lacquer, gilded outlines, and carved or painted garden scenes showing pavilions, birds, and flowering trees",a Vietnamese sơn mài lacquer screen,"a Vietnamese sơn mài lacquer screen with layered black, red, and gold lacquer polished to depth, showing stylized village scenes, bamboo, and eggshell inlay",3,1,True,False,False,True,3033,pair_040_native_SS_g3_r3_s3033,pair_040,40,5,3,True,True,False,True,3,sample_0064,3,pair_040_standalone_A_g3_r3_s3033,pair_040_standalone_B_g3_r3_s3033
knowledge_insufficiency,True,False,True,a Moroccan Fes ceramic bowl,"a Moroccan Fes ceramic bowl with a white glazed body painted in cobalt blue, green, and yellow, showing organized star, arabesque, and palmette motifs",an Algerian Kabyle pottery bowl,"an Algerian Kabyle pottery bowl made of hand-built earthenware with red, black, and white painted decoration, showing triangles, chevrons, and protective geometric signs",2,4,True,False,True,True,2023,pair_018_native_SS_g2_r3_s2023,pair_018,18,3,4,True,False,True,True,3,sample_0066,2,pair_018_standalone_A_g2_r3_s2023,pair_018_standalone_B_g2_r3_s2023
knowledge_insufficiency,True,False,True,a Spanish Toledo damascened box,"a Spanish Toledo damascened box made of blackened steel inlaid with gold and silver, showing Moorish arabesques and geometric filigree patterns",a Japanese nunome-zōgan metal-inlay box,"a Japanese nunome-zōgan metal-inlay box made of dark iron overlaid with gold and silver textile-like inlay, showing waves, flowers, and geometric bands",2,3,True,False,False,True,1011,pair_045_native_SS_g1_r1_s1011,pair_045,45,2,4,True,False,True,True,1,sample_0077,1,pair_045_standalone_A_g1_r1_s1011,pair_045_standalone_B_g1_r1_s1011
knowledge_insufficiency,False,True,True,a Mexican Mata Ortiz pottery jar,"a Mexican Mata Ortiz pottery jar with a thin-walled polished clay body and black-and-red painting, showing interlocking geometric and Mimbres-inspired animal motifs",a Serbian Zlakusa pottery jar,"a Serbian Zlakusa pottery jar made from clay mixed with ground calcite, showing a unglazed surface, rounded cooking-vessel form, and sparse incised bands",3,2,True,True,False,True,1011,pair_025_native_SS_g1_r1_s1011,pair_025,25,4,3,True,True,False,True,1,sample_0102,1,pair_025_standalone_A_g1_r1_s1011,pair_025_standalone_B_g1_r1_s1011
knowledge_insufficiency,True,True,True,a Spanish Toledo damascened vase,"a Spanish Toledo damascened vase made of blackened steel inlaid with gold and silver, showing Moorish arabesques and geometric filigree patterns",a Korean ipsa metal-inlay vase,"a Korean ipsa metal-inlay vase made of dark patinated metal inlaid with silver wire, showing cranes, clouds, and sparse linear landscape motifs",1,1,True,False,False,True,2021,pair_046_native_SS_g2_r1_s2021,pair_046,46,2,3,True,False,False,True,1,sample_0183,2,pair_046_standalone_A_g2_r1_s2021,pair_046_standalone_B_g2_r1_s2021
knowledge_insufficiency,True,False,True,a Chinese sancai glazed ceramic jar,"a Chinese sancai glazed ceramic jar with amber, green, and cream lead glazes over a rounded earthenware body, showing drips and molded relief bands",a Peruvian Chulucanas pottery jar,"a Peruvian Chulucanas pottery jar with a burnished clay surface in black, cream, and brown, showing negative-painted geometric bands and abstract figures",2,4,True,False,True,True,1013,pair_022_native_SS_g1_r3_s1013,pair_022,22,2,5,True,False,True,True,3,sample_0193,1,pair_022_standalone_A_g1_r3_s1013,pair_022_standalone_B_g1_r3_s1013
knowledge_insufficiency,False,True,True,an Italian tooled-leather wall panel,"an Italian tooled-leather wall panel made from embossed and gilded leather, showing scrolling acanthus leaves, heraldic forms, and brown-and-gold relief",a Spanish Córdoba guadamecí leather panel,"a Spanish Córdoba guadamecí leather panel made from silvered, painted, and embossed leather, showing Renaissance arabesques, flowers, and richly colored metallic relief",4,2,True,True,False,True,1012,pair_097_native_SS_g1_r2_s1012,pair_097,97,4,0,True,False,False,True,2,sample_0221,1,pair_097_standalone_A_g1_r2_s1012,pair_097_standalone_B_g1_r2_s1012
knowledge_insufficiency,True,False,True,a Mexican Otomi embroidered blouse,"a Mexican Otomi embroidered blouse worked in flat satin stitch, showing mirrored birds, deer, flowers, and fantastical animals around the neckline and sleeves",a Guatemalan huipil blouse,"a Guatemalan huipil blouse woven and embroidered in colors, showing diamonds, birds, maize, and community-specific geometric bands",2,4,True,False,True,True,3032,pair_075_native_SS_g3_r2_s3032,pair_075,75,2,5,True,False,True,True,2,sample_0251,3,pair_075_standalone_A_g3_r2_s3032,pair_075_standalone_B_g3_r2_s3032
knowledge_insufficiency,True,False,True,a Chinese celadon ceramic bowl,"a Chinese celadon ceramic bowl with translucent blue-green glaze, showing carved lotus petals beneath the glaze",a Vietnamese Lý–Trần celadon ceramic bowl,"a Vietnamese Lý–Trần celadon ceramic bowl with a pale jade-green glaze and lightly crackled surface, showing carved lotus petals and combed floral decoration",2,2,True,False,False,True,1011,pair_010_native_SS_g1_r1_s1011,pair_010,10,3,4,True,False,True,True,1,sample_0255,1,pair_010_standalone_A_g1_r1_s1011,pair_010_standalone_B_g1_r1_s1011
knowledge_insufficiency,True,True,True,a Japanese raden lacquerware tray,"a Japanese raden lacquerware tray with deep black lacquer and iridescent mother-of-pearl shell inlay forming bird, flower, and geometric motifs",a Korean najeonchilgi lacquerware tray,"a Korean najeonchilgi lacquerware tray with black lacquer and mother-of-pearl inlay, showing chrysanthemum scrolls, cranes, and repeated geometric borders",1,0,True,False,False,True,2023,pair_035_native_SS_g2_r3_s2023,pair_035,35,0,0,True,False,False,True,3,sample_0281,2,pair_035_standalone_A_g2_r3_s2023,pair_035_standalone_B_g2_r3_s2023
