sample_id,pair_id,seed,base_consensus_shift,method_consensus_shift,paired_valid,base_state,method_state,strict_rescue,persistent_failure,strict_harm,stable_success,fail_to_disagree,disagree_to_fail,base_A_identity_mean,method_A_identity_mean,delta_A_identity,base_B_identity_mean,method_B_identity_mean,delta_B_identity
sample_0001,pair_060,,,True,False,,fail,False,False,False,False,False,False,,3.0,,,2.0,
sample_0002,pair_010,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0003,pair_013,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0004,pair_100,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0005,pair_029,,,True,False,,fail,False,False,False,False,False,False,,2.5,,,2.5,
sample_0006,pair_054,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0007,pair_087,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0008,pair_077,,,False,False,,disagree,False,False,False,False,False,False,,3.5,,,3.0,
sample_0009,pair_068,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0010,pair_084,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0011,pair_099,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0012,pair_093,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0013,pair_051,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0014,pair_026,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0015,pair_100,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0016,pair_018,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0017,pair_080,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0018,pair_057,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0019,pair_053,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0020,pair_045,,True,,False,fail,,False,False,False,False,False,False,1.5,,,2.5,,
sample_0021,pair_065,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0022,pair_041,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0023,pair_086,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0024,pair_029,,True,,False,fail,,False,False,False,False,False,False,3.0,,,2.0,,
sample_0025,pair_055,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0026,pair_069,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0027,pair_078,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0028,pair_039,,True,,False,fail,,False,False,False,False,False,False,2.5,,,3.5,,
sample_0029,pair_079,,True,,False,fail,,False,False,False,False,False,False,1.5,,,3.0,,
sample_0030,pair_088,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.5,,
sample_0031,pair_085,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0032,pair_074,,False,,False,disagree,,False,False,False,False,False,False,3.0,,,4.0,,
sample_0033,pair_095,,False,,False,disagree,,False,False,False,False,False,False,3.5,,,3.5,,
sample_0034,pair_010,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0035,pair_087,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0036,pair_053,,False,,False,disagree,,False,False,False,False,False,False,4.0,,,3.0,,
sample_0037,pair_088,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0038,pair_089,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0039,pair_073,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0040,pair_006,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0041,pair_068,,True,,False,fail,,False,False,False,False,False,False,3.0,,,3.0,,
sample_0042,pair_033,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0043,pair_017,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0044,pair_020,,,True,False,,fail,False,False,False,False,False,False,,2.0,,,2.5,
sample_0045,pair_027,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0046,pair_067,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0047,pair_052,,True,,False,fail,,False,False,False,False,False,False,2.0,,,3.5,,
sample_0048,pair_033,,,,False,,,False,False,False,False,False,False,,,,,,
sample_0049,pair_009,,,,False,,,False,False,False,False,False,False,,,,,,
