eval_id,sample_id,pair_id,pair_index,seed_group,replicate,latent_seed,condition,entity_A,entity_B,left_choice,right_choice,correct_binding,drift,A_to_B_leakage,B_to_A_leakage,left_reason,right_reason,model
eval_0861,sample_0265,pair_001,1,1,1,1011,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,dense architectural scene and border pattern align with A-alone,blue-and-white landscape motif with fine brushwork matches B-alone,qwen3-vl-235b-a22b-instruct
eval_1659,sample_0265,pair_001,1,1,1,1011,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Features人物 figures and tree motifs with similar line weight and color saturation as A-alone.,Identical blue-and-white landscape motif and brushwork texture as B-alone.,qwen3-vl-235b-a22b-instruct
eval_0508,sample_0418,pair_001,1,1,2,1012,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Matches A-alone’s decorative border pattern and tonal rendering of scenery.,Identical blue-and-white landscape motif and brushwork texture as B-alone.,qwen3-vl-235b-a22b-instruct
eval_0638,sample_0418,pair_001,1,1,2,1012,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"Matches A-alone’s detailed scenery, brushwork density, and decorative banding.",Shares identical blue-and-white landscape motif and border pattern with B-alone.,qwen3-vl-235b-a22b-instruct
eval_1514,sample_0313,pair_001,1,1,3,1013,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"Matches A-alone’s mountain-and-pagoda scene, color saturation, and decorative banding.",Shares identical blue-and-white landscape motif and brushwork texture with B-alone.,qwen3-vl-235b-a22b-instruct
eval_1126,sample_0313,pair_001,1,1,3,1013,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Identical blue-and-white scenic pattern and decorative finish as A-alone.,Same blue-and-white landscape motif and brushwork texture as B-alone.,qwen3-vl-235b-a22b-instruct
eval_0225,sample_0807,pair_001,1,2,1,2021,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"Matches A-alone’s softer brushwork, composition, and decorative banding.",Identical blue-and-white landscape motifs and border patterns as B-alone.,qwen3-vl-235b-a22b-instruct
eval_0440,sample_0807,pair_001,1,2,1,2021,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"matches A-alone’s softer brushwork, misty rendering, and decorative band style",shares dense blue landscape motifs and border patterns with B-alone,qwen3-vl-235b-a22b-instruct
eval_0119,sample_0611,pair_001,1,2,2,2022,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,"displays mountainous scenery with trees and architecture in broad washes, mirroring A-alone’s landscape composition and tonal gradation","features a central human figure in flowing robes within landscape, matching B-alone's narrative motif and brushwork texture",qwen3-vl-235b-a22b-instruct
eval_1081,sample_0611,pair_001,1,2,2,2022,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Matches A's tree-and-mountain landscape pattern without human figures.,Shares B's figural motif and landscape density with human figure in blue robe.,qwen3-vl-235b-a22b-instruct
eval_1183,sample_0213,pair_001,1,2,3,2023,lsda_clean,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Matches A's lighter blue tone and simpler landscape rendering.,Shares B's denser blue wash and more ornate neck detailing.,qwen3-vl-235b-a22b-instruct
eval_1262,sample_0213,pair_001,1,2,3,2023,native_SS,a Chinese blue-and-white porcelain vase,a Vietnamese Bát Tràng blue-and-white ceramic vase,A,B,1,0,0,0,Matches A's lighter blue tones and landscape motif density.,Shares B's dense blue wash and ornate neck detailing.,qwen3-vl-235b-a22b-instruct
