attribution,candidate_task_id,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,method_key,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
knowledge_insufficiency,pair_060_lsda_ra_g1_r1_s1011,False,True,True,a Chinese bronze ritual bowl,"a Chinese bronze ritual bowl with a dark patinated bronze surface and cast relief, showing taotie-like masks, leiwen spirals, and symmetrical handles",a Korean bangjja bronze bowl,"a Korean bangjja bronze bowl made of hand-hammered bronze with a golden surface, showing a clean resonant form, hammer marks, and minimal ornament",3,2,True,False,False,True,1011,ra,pair_060_native_SS_g1_r1_s1011,pair_060,60,3,2,True,False,False,True,1,sample_0001,1,pair_060_standalone_A_g1_r1_s1011,pair_060_standalone_B_g1_r1_s1011
knowledge_insufficiency,pair_029_lsda_ra_g2_r1_s2021,True,True,True,a Japanese Bizen stoneware vase,"a Japanese Bizen stoneware vase with an unglazed reddish-brown body marked by natural ash deposits and flame flashes, showing an austere asymmetrical form",a French Puisaye stoneware vase,"a French Puisaye stoneware vase with a dark salt-glazed stoneware body and earthy brown-to-gray surface, showing incised bands and robust hand-thrown proportions",2,3,True,False,False,True,2021,ra,pair_029_native_SS_g2_r1_s2021,pair_029,29,3,2,True,False,False,True,1,sample_0005,2,pair_029_standalone_A_g2_r1_s2021,pair_029_standalone_B_g2_r1_s2021
knowledge_insufficiency,pair_020_lsda_ra_g3_r3_s3033,True,True,True,a Polish Bolesławiec stoneware jug,"a Polish Bolesławiec stoneware jug with a cream glazed body stamped in cobalt blue, showing repeated dots, peacock-eye rosettes, and circular folk patterns",a Bulgarian Troyan pottery jug,"a Bulgarian Troyan pottery jug with a dark glazed earthenware body and feathered slip decoration, showing brown, green, yellow, and cream wave patterns",2,2,True,False,False,True,3033,ra,pair_020_native_SS_g3_r3_s3033,pair_020,20,2,3,True,False,False,True,3,sample_0044,3,pair_020_standalone_A_g3_r3_s3033,pair_020_standalone_B_g3_r3_s3033
mixed_or_uncertain,pair_061_lsda_ra_g2_r3_s2023,True,True,True,a Japanese silk kimono,"a Japanese silk kimono with a lustrous woven ground and dyed or embroidered decoration, showing cranes, cherry blossoms, water, and seasonal motifs",a Lao sinh silk skirt,"a Lao sinh silk skirt with supplementary-weft silk bands and patterned borders, showing diamonds, serpents, temple forms, and jewel colors",3,2,True,True,False,True,2023,ra,pair_061_native_SS_g2_r3_s2023,pair_061,61,3,2,True,True,True,True,3,sample_0068,2,pair_061_standalone_A_g2_r3_s2023,pair_061_standalone_B_g2_r3_s2023
mixed_or_uncertain,pair_094_lsda_ra_g2_r1_s2021,True,False,True,a Japanese woven-bamboo basket,"a Japanese woven-bamboo basket made from split bamboo in a open weave, showing hexagonal plaiting, curved handles, and an asymmetrical sculptural profile",a Philippine nito-vine basket,"a Philippine nito-vine basket woven from dark nito vine over a lighter structural frame, showing tight black-and-tan spirals, diamonds, and rhythmic geometric bands",2,2,True,False,False,True,2021,ra,pair_094_native_SS_g2_r1_s2021,pair_094,94,3,4,True,True,True,True,1,sample_0101,2,pair_094_standalone_A_g2_r1_s2021,pair_094_standalone_B_g2_r1_s2021
mixed_or_uncertain,pair_068_lsda_ra_g1_r3_s1013,False,True,True,an Indonesian ikat textile panel,"an Indonesian ikat textile panel woven from resist-dyed threads with feathered edges, showing diamonds, ancestor figures, and rhythmic color bands",an Iban pua kumbu textile panel,"an Iban pua kumbu textile panel woven in warp ikat with deep red, black, and cream yarns, showing powerful hooked figures, spirit motifs, and mirrored geometric bands",2,2,True,True,False,True,1013,ra,pair_068_native_SS_g1_r3_s1013,pair_068,68,4,2,True,True,True,True,3,sample_0108,1,pair_068_standalone_A_g1_r3_s1013,pair_068_standalone_B_g1_r3_s1013
mixed_or_uncertain,pair_076_lsda_ra_g2_r1_s2021,True,True,True,a Japanese sashiko textile panel,"a Japanese sashiko textile panel stitched with white running thread on indigo cotton, showing repeating hemp-leaf, wave, and linked-diamond reinforcement patterns",a Romanian ie-embroidery textile panel,"a Romanian ie-embroidery textile panel worked in red, black, blue, and metallic thread, showing vertical floral bands, diamonds, and region-specific geometric motifs",2,2,True,False,False,True,2021,ra,pair_076_native_SS_g2_r1_s2021,pair_076,76,0,2,True,False,True,True,1,sample_0142,2,pair_076_standalone_A_g2_r1_s2021,pair_076_standalone_B_g2_r1_s2021
mixed_or_uncertain,pair_008_lsda_ra_g2_r2_s2022,False,True,True,a Chinese famille-rose porcelain vase,"a Chinese famille-rose porcelain vase with opaque pink, green, yellow, and turquoise overglaze enamels, showing peonies, birds, and auspicious garden scenes",a Hungarian Herend porcelain vase,"a Hungarian Herend porcelain vase with polychrome enamel painting and gilded rims, showing stylized butterflies, flowers, and scale-like fishnet patterns",3,2,True,True,False,True,2022,ra,pair_008_native_SS_g2_r2_s2022,pair_008,8,5,2,True,True,True,True,2,sample_0157,2,pair_008_standalone_A_g2_r2_s2022,pair_008_standalone_B_g2_r2_s2022
composition_mechanism_failure,pair_089_lsda_ra_g2_r2_s2022,False,True,True,a Persian floral carpet,"a Persian floral carpet with a wool pile and central medallion, showing curving vines, palmettes, and flowers in deep red, blue, and ivory",a Tibetan khaden carpet,"a Tibetan khaden carpet with a compact wool pile in red, blue, yellow, and cream, showing snow lions, lotus flowers, clouds, or checkerboard motifs",4,2,True,True,True,True,2022,ra,pair_089_native_SS_g2_r2_s2022,pair_089,89,4,3,True,True,True,True,2,sample_0161,2,pair_089_standalone_A_g2_r2_s2022,pair_089_standalone_B_g2_r2_s2022
mixed_or_uncertain,pair_017_lsda_ra_g2_r1_s2021,True,False,True,an Ottoman İznik ceramic plate,"an Ottoman İznik ceramic plate with a white fritware body, cobalt blue, turquoise, emerald green, and raised bole-red painting, showing tulips, carnations, and saz leaves",an Armenian Kütahya ceramic plate,"an Armenian Kütahya ceramic plate with a white glazed body and blue, green, yellow, and red painting, showing rosettes, crosses, birds, and floral borders",2,2,True,False,False,True,2021,ra,pair_017_native_SS_g2_r1_s2021,pair_017,17,2,4,True,True,True,True,1,sample_0171,2,pair_017_standalone_A_g2_r1_s2021,pair_017_standalone_B_g2_r1_s2021
