attribution,candidate_task_id,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,method_key,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
mixed_or_uncertain,pair_077_lsda_original_g3_r3_s3033,True,False,True,a Hungarian Matyó embroidery panel,"a Hungarian Matyó embroidery panel worked in red, pink, blue, yellow, and green thread, showing densely packed roses and curling floral sprays",a Slovak Detva embroidery panel,"a Slovak Detva embroidery panel worked in chain stitch and satin stitch, showing compact geometric flowers, hearts, and rhythmic folk borders",2,4,True,True,True,True,3033,original,pair_077_native_SS_g3_r3_s3033,pair_077,77,2,4,True,False,True,True,3,sample_0008,3,pair_077_standalone_A_g3_r3_s3033,pair_077_standalone_B_g3_r3_s3033
knowledge_insufficiency,pair_068_lsda_original_g2_r1_s2021,False,True,True,an Indonesian ikat textile panel,"an Indonesian ikat textile panel woven from resist-dyed threads with feathered edges, showing diamonds, ancestor figures, and rhythmic color bands",an Iban pua kumbu textile panel,"an Iban pua kumbu textile panel woven in warp ikat with deep red, black, and cream yarns, showing powerful hooked figures, spirit motifs, and mirrored geometric bands",4,2,True,True,False,True,2021,original,pair_068_native_SS_g2_r1_s2021,pair_068,68,5,2,True,True,False,True,1,sample_0009,2,pair_068_standalone_A_g2_r1_s2021,pair_068_standalone_B_g2_r1_s2021
mixed_or_uncertain,pair_026_lsda_original_g2_r2_s2022,True,True,True,a Moroccan Safi pottery vase,"a Moroccan Safi pottery vase with a glazed earthenware body painted in blue, green, yellow, and brown, showing arabesques and floral medallions",a Tunisian Nabeul pottery vase,"a Tunisian Nabeul pottery vase with a white glazed body painted in cobalt blue, turquoise, yellow, and green, showing fish, flowers, and Mediterranean geometric borders",2,2,True,True,False,True,2022,original,pair_026_native_SS_g2_r2_s2022,pair_026,26,2,2,True,True,True,True,2,sample_0014,2,pair_026_standalone_A_g2_r2_s2022,pair_026_standalone_B_g2_r2_s2022
composition_mechanism_failure,pair_057_lsda_original_g1_r1_s1011,False,True,True,a Japanese cast-iron tetsubin teapot,"a Japanese cast-iron tetsubin teapot with a dark textured iron body, arched handle, and relief decoration showing hailstone, pine, or geometric motifs",an Azerbaijani engraved-copper teapot,"an Azerbaijani engraved-copper teapot with a hammered copper body, curved spout, and incised floral medallions, boteh motifs, and geometric borders",3,2,True,True,True,True,1011,original,pair_057_native_SS_g1_r1_s1011,pair_057,57,4,0,True,True,True,True,1,sample_0018,1,pair_057_standalone_A_g1_r1_s1011,pair_057_standalone_B_g1_r1_s1011
knowledge_insufficiency,pair_079_lsda_original_g3_r2_s3032,True,False,True,a Panamanian mola textile panel,"a Panamanian mola textile panel made with layered reverse appliqué in colors, showing animals, plants, and maze-like geometric contours",a Ukrainian Hutsul embroidery panel,"a Ukrainian Hutsul embroidery panel worked in cross-stitch with red, orange, black, and green thread, showing diamonds, hooks, and repeated geometric bands",2,3,True,False,True,True,3032,original,pair_079_native_SS_g3_r2_s3032,pair_079,79,2,5,True,False,True,True,2,sample_0029,3,pair_079_standalone_A_g3_r2_s3032,pair_079_standalone_B_g3_r2_s3032
mixed_or_uncertain,pair_010_lsda_original_g2_r3_s2023,True,True,True,a Chinese celadon ceramic bowl,"a Chinese celadon ceramic bowl with translucent blue-green glaze, showing carved lotus petals beneath the glaze",a Vietnamese Lý–Trần celadon ceramic bowl,"a Vietnamese Lý–Trần celadon ceramic bowl with a pale jade-green glaze and lightly crackled surface, showing carved lotus petals and combed floral decoration",2,2,True,False,True,True,2023,original,pair_010_native_SS_g2_r3_s2023,pair_010,10,2,3,True,False,True,True,3,sample_0034,2,pair_010_standalone_A_g2_r3_s2023,pair_010_standalone_B_g2_r3_s2023
knowledge_insufficiency,pair_052_lsda_original_g3_r1_s3031,True,False,True,an Ottoman tinned-copper ewer,"an Ottoman tinned-copper ewer with a reflective silver-toned tinned surface, tall curved spout, and chased tulip, cypress, and arabesque decoration",a Bosnian engraved-copper coffee ewer,"a Bosnian engraved-copper coffee ewer with a copper body, long curved spout, and hand-hammered rosette, star, and interlaced geometric motifs",2,4,True,False,True,True,3031,original,pair_052_native_SS_g3_r1_s3031,pair_052,52,3,4,True,False,True,True,1,sample_0047,3,pair_052_standalone_A_g3_r1_s3031,pair_052_standalone_B_g3_r1_s3031
mixed_or_uncertain,pair_058_lsda_original_g1_r2_s1012,True,False,True,a Russian brass samovar,"a Russian brass samovar with a polished urn-shaped body, side handles, and ornate spigot, showing engraved floral bands and architectural details",an Iranian Qajar brass samovar,"an Iranian Qajar brass samovar with a tall faceted brass body, curved handles, and engraved panels showing birds, flowers, and courtly motifs",2,3,True,False,False,True,1012,original,pair_058_native_SS_g1_r2_s1012,pair_058,58,3,5,True,True,True,True,2,sample_0050,1,pair_058_standalone_A_g1_r2_s1012,pair_058_standalone_B_g1_r2_s1012
knowledge_insufficiency,pair_097_lsda_original_g2_r3_s2023,False,True,True,an Italian tooled-leather wall panel,"an Italian tooled-leather wall panel made from embossed and gilded leather, showing scrolling acanthus leaves, heraldic forms, and brown-and-gold relief",a Spanish Córdoba guadamecí leather panel,"a Spanish Córdoba guadamecí leather panel made from silvered, painted, and embossed leather, showing Renaissance arabesques, flowers, and richly colored metallic relief",2,2,True,False,False,True,2023,original,pair_097_native_SS_g2_r3_s2023,pair_097,97,4,3,True,False,False,True,3,sample_0051,2,pair_097_standalone_A_g2_r3_s2023,pair_097_standalone_B_g2_r3_s2023
composition_mechanism_failure,pair_018_lsda_original_g2_r2_s2022,True,True,True,a Moroccan Fes ceramic bowl,"a Moroccan Fes ceramic bowl with a white glazed body painted in cobalt blue, green, and yellow, showing organized star, arabesque, and palmette motifs",an Algerian Kabyle pottery bowl,"an Algerian Kabyle pottery bowl made of hand-built earthenware with red, black, and white painted decoration, showing triangles, chevrons, and protective geometric signs",2,2,True,True,True,True,2022,original,pair_018_native_SS_g2_r2_s2022,pair_018,18,2,3,True,True,True,True,2,sample_0059,2,pair_018_standalone_A_g2_r2_s2022,pair_018_standalone_B_g2_r2_s2022
