attribution,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
missing_rating,,,,a Chinese bronze ritual bowl,"a Chinese bronze ritual bowl with a dark patinated bronze surface and cast relief, showing taotie-like masks, leiwen spirals, and symmetrical handles",a Korean bangjja bronze bowl,"a Korean bangjja bronze bowl made of hand-hammered bronze with a golden surface, showing a clean resonant form, hammer marks, and minimal ornament",,,,,,False,1011,pair_060_native_SS_g1_r1_s1011,pair_060,60,,,,,,False,1,sample_0001,1,pair_060_standalone_A_g1_r1_s1011,pair_060_standalone_B_g1_r1_s1011
missing_rating,,,,a Chinese celadon ceramic bowl,"a Chinese celadon ceramic bowl with translucent blue-green glaze, showing carved lotus petals beneath the glaze",a Vietnamese Lý–Trần celadon ceramic bowl,"a Vietnamese Lý–Trần celadon ceramic bowl with a pale jade-green glaze and lightly crackled surface, showing carved lotus petals and combed floral decoration",,,,,,True,1012,pair_010_native_SS_g1_r2_s1012,pair_010,10,,,,,,False,2,sample_0002,1,pair_010_standalone_A_g1_r2_s1012,pair_010_standalone_B_g1_r2_s1012
missing_rating,,,,a Dutch blue-and-white Delftware vase,"a Dutch blue-and-white Delftware vase with opaque white tin glaze, painted in cobalt blue with canal-house, tulip, and ornamental border motifs",a Tunisian Qallaline faience vase,"a Tunisian Qallaline faience vase with tin glaze, painted in cobalt blue, green, ochre, and manganese with cypress, arch, and floral motifs",,,,,,True,3031,pair_013_native_SS_g3_r1_s3031,pair_013,13,,,,,,False,1,sample_0003,3,pair_013_standalone_A_g3_r1_s3031,pair_013_standalone_B_g3_r1_s3031
missing_rating,,,,an Inuit soapstone figurine,"an Inuit soapstone figurine carved from dark gray-green stone with rounded tactile surfaces, showing a compact animal or human figure with incised details",a Kenyan Kisii soapstone figurine,"a Kenyan Kisii soapstone figurine carved from pale soapstone and polished, showing an abstract intertwined human or animal form with rounded contours",,,,,,True,2022,pair_100_native_SS_g2_r2_s2022,pair_100,100,,,,,,False,2,sample_0004,2,pair_100_standalone_A_g2_r2_s2022,pair_100_standalone_B_g2_r2_s2022
missing_rating,,,,a Japanese Bizen stoneware vase,"a Japanese Bizen stoneware vase with an unglazed reddish-brown body marked by natural ash deposits and flame flashes, showing an austere asymmetrical form",a French Puisaye stoneware vase,"a French Puisaye stoneware vase with a dark salt-glazed stoneware body and earthy brown-to-gray surface, showing incised bands and robust hand-thrown proportions",,,,,,False,2021,pair_029_native_SS_g2_r1_s2021,pair_029,29,,,,,,False,1,sample_0005,2,pair_029_standalone_A_g2_r1_s2021,pair_029_standalone_B_g2_r1_s2021
missing_rating,,,,a Mexican Taxco silver bowl,"a Mexican Taxco silver bowl with a polished hand-hammered silver surface and modern curves, showing geometric or pre-Columbian-inspired accents",an Indonesian Kotagede silver bowl,"an Indonesian Kotagede silver bowl with a oxidized silver surface worked in repoussé and filigree, showing lotus scrolls, vines, and stippled grounds",,,,,,False,3032,pair_054_native_SS_g3_r2_s3032,pair_054,54,,,,,,False,2,sample_0006,3,pair_054_standalone_A_g3_r2_s3032,pair_054_standalone_B_g3_r2_s3032
missing_rating,,,,a Scottish tartan wool blanket,"a Scottish tartan wool blanket woven in colored wool with intersecting horizontal and vertical stripes, forming a balanced repeating clan-associated check pattern",a Swedish rya wool rug,"a Swedish rya wool rug with a long wool pile and woven backing, showing geometric diamonds, stripes, and abstract color fields",,,,,,False,1011,pair_087_native_SS_g1_r1_s1011,pair_087,87,,,,,,True,1,sample_0007,1,pair_087_standalone_A_g1_r1_s1011,pair_087_standalone_B_g1_r1_s1011
missing_rating,,,,a Hungarian Matyó embroidery panel,"a Hungarian Matyó embroidery panel worked in red, pink, blue, yellow, and green thread, showing densely packed roses and curling floral sprays",a Slovak Detva embroidery panel,"a Slovak Detva embroidery panel worked in chain stitch and satin stitch, showing compact geometric flowers, hearts, and rhythmic folk borders",,,,,,False,3033,pair_077_native_SS_g3_r3_s3033,pair_077,77,,,,,,True,3,sample_0008,3,pair_077_standalone_A_g3_r3_s3033,pair_077_standalone_B_g3_r3_s3033
missing_rating,,,,an Indonesian ikat textile panel,"an Indonesian ikat textile panel woven from resist-dyed threads with feathered edges, showing diamonds, ancestor figures, and rhythmic color bands",an Iban pua kumbu textile panel,"an Iban pua kumbu textile panel woven in warp ikat with deep red, black, and cream yarns, showing powerful hooked figures, spirit motifs, and mirrored geometric bands",,,,,,True,2021,pair_068_native_SS_g2_r1_s2021,pair_068,68,,,,,,False,1,sample_0009,2,pair_068_standalone_A_g2_r1_s2021,pair_068_standalone_B_g2_r1_s2021
missing_rating,,,,a Moroccan Beni Ourain wool rug,"a Moroccan Beni Ourain wool rug with a thick cream wool pile and sparse dark-brown lines, showing large asymmetrical diamonds and open geometric spacing",a Ukrainian Hutsul lizhnyk wool rug,"a Ukrainian Hutsul lizhnyk wool rug with a shaggy woven wool surface in gray, cream, brown, and muted color, showing stepped diamonds and rhythmic zigzag bands",,,,,,True,3033,pair_084_native_SS_g3_r3_s3033,pair_084,84,,,,,,False,3,sample_0010,3,pair_084_standalone_A_g3_r3_s3033,pair_084_standalone_B_g3_r3_s3033
