sample_id,pair_id,latent_seed,entity_A,entity_B,native_eval_id,lsda_eval_id,native_left_choice,native_right_choice,lsda_left_choice,lsda_right_choice,lsda_left_reason,lsda_right_reason
sample_0512,pair_011,2021,a Korean Goryeo celadon maebyeong vase,a Thai Sawankhalok celadon jar,eval_1419,eval_1026,A,B,B,B,"Shares the same carved figural decoration and textured surface as B-alone, unlike A’s smooth plain finish.","Both feature dense, raised relief motifs with narrative scenes and similar celadon glaze texture."
sample_0843,pair_016,3033,a Mexican Talavera de Puebla plate,a Romanian Horezu pottery plate,eval_0990,eval_1302,A,B,A,A,"Matches A's color palette, dense floral patterns, and painted glaze texture.","Shares A's bright floral motifs, bold blue outlines, and glossy ceramic finish."
sample_0791,pair_023,3032,an ancient Greek black-figure ceramic amphora,an ancient Cypriot bichrome ceramic amphora,eval_0985,eval_1739,A,B,B,A,"Matches B-alone’s decorative banding, silhouette framing, and figure density in surface pattern.","Shares black-figure technique, terracotta ground, and figural motifs with A-alone."
sample_0650,pair_030,2022,a Chinese Longquan celadon vase,a Thai Si Satchanalai celadon vase,eval_0074,eval_0351,A,B,B,A,"matches B-alone’s deeper green tone, glossy finish, and dragon-handled ornamentation",shares similar pale celadon glaze and subtle incised floral motifs with A-alone
sample_0230,pair_035,3033,a Japanese raden lacquerware tray,a Korean najeonchilgi lacquerware tray,eval_0996,eval_1777,A,B,B,A,Matches B-alone’s dark wood grain texture and carved/engraved surface finish.,Shares gold-ground ink wash landscape and red lacquer rim with A-alone.
sample_0858,pair_045,3032,a Spanish Toledo damascened box,a Japanese nunome-zōgan metal-inlay box,eval_0599,eval_0270,A,B,B,B,Features similar black ground with intricate silver/white architectural scenes as B-alone.,Shares black lacquer base with gold cloud and landscape motifs like B-alone.
sample_0829,pair_060,1012,a Chinese bronze ritual bowl,a Korean bangjja bronze bowl,eval_0154,eval_0252,A,B,B,A,Matches B's low-relief landscape motifs and uniform matte bronze finish.,Shares A's high-relief figural scenes and dark patina with gilded highlights.
sample_0229,pair_067,2022,a Japanese brocade obi sash,a Korean gold-thread brocade sash,eval_1362,eval_0942,A,B,B,A,Horizontal striped brocade pattern and metallic gold finish match B-alone.,Floral and bird motifs with similar color palette and painted texture as A-alone.
sample_0487,pair_079,2021,a Panamanian mola textile panel,a Ukrainian Hutsul embroidery panel,eval_1352,eval_0833,A,B,B,B,"Matches B's woven texture, earthy tones, and stylized symbolic patterns.",Shares B's dense geometric motifs and red/earth-tone color palette.
sample_0744,pair_096,3032,a Moroccan tooled-leather box,a Tuareg tooled-leather box,eval_0009,eval_1545,A,B,B,A,"Matches B's carved panel structure, metallic studs, and dark wood finish.",Shares A's geometric lattice and dot-inlay pattern on lid and body.
