attribution,consensus_A_affected,consensus_B_affected,consensus_shift,entity_A,entity_A_diagnostic,entity_B,entity_B_diagnostic,gemini_candidate_A_score,gemini_candidate_B_score,gemini_shift,gemini_standalone_A_correct,gemini_standalone_B_correct,gemini_valid,latent_seed,native_task_id,pair_id,pair_index,qwen_candidate_A_score,qwen_candidate_B_score,qwen_shift,qwen_standalone_A_correct,qwen_standalone_B_correct,qwen_valid,replicate,sample_id,seed_group,standalone_A_task_id,standalone_B_task_id
mixed_or_uncertain,True,False,True,a Spanish Toledo damascened box,"a Spanish Toledo damascened box made of blackened steel inlaid with gold and silver, showing Moorish arabesques and geometric filigree patterns",a Japanese nunome-zōgan metal-inlay box,"a Japanese nunome-zōgan metal-inlay box made of dark iron overlaid with gold and silver textile-like inlay, showing waves, flowers, and geometric bands",1,1,True,True,False,True,2021,pair_045_native_SS_g2_r1_s2021,pair_045,45,2,4,True,False,True,True,1,sample_0020,2,pair_045_standalone_A_g2_r1_s2021,pair_045_standalone_B_g2_r1_s2021
knowledge_insufficiency,True,True,True,a Japanese Bizen stoneware vase,"a Japanese Bizen stoneware vase with an unglazed reddish-brown body marked by natural ash deposits and flame flashes, showing an austere asymmetrical form",a French Puisaye stoneware vase,"a French Puisaye stoneware vase with a dark salt-glazed stoneware body and earthy brown-to-gray surface, showing incised bands and robust hand-thrown proportions",3,2,True,False,False,True,3032,pair_029_native_SS_g3_r2_s3032,pair_029,29,3,2,True,False,False,True,2,sample_0024,3,pair_029_standalone_A_g3_r2_s3032,pair_029_standalone_B_g3_r2_s3032
knowledge_insufficiency,True,False,True,a Japanese Tsugaru-nuri lacquerware box,"a Japanese Tsugaru-nuri lacquerware box with many polished lacquer layers forming mottled red, black, yellow, and green patterns across a geometric form",a Kashmiri papier-mâché lacquer box,"a Kashmiri papier-mâché lacquer box with a lacquered paper-pulp body painted in gold and jewel colors, showing chinar leaves, flowers, and arabesques",3,3,True,False,True,True,1011,pair_039_native_SS_g1_r1_s1011,pair_039,39,2,4,True,False,True,True,1,sample_0028,1,pair_039_standalone_A_g1_r1_s1011,pair_039_standalone_B_g1_r1_s1011
knowledge_insufficiency,True,False,True,a Panamanian mola textile panel,"a Panamanian mola textile panel made with layered reverse appliqué in colors, showing animals, plants, and maze-like geometric contours",a Ukrainian Hutsul embroidery panel,"a Ukrainian Hutsul embroidery panel worked in cross-stitch with red, orange, black, and green thread, showing diamonds, hooks, and repeated geometric bands",1,2,True,False,True,True,3032,pair_079_native_SS_g3_r2_s3032,pair_079,79,2,4,True,False,True,True,2,sample_0029,3,pair_079_standalone_A_g3_r2_s3032,pair_079_standalone_B_g3_r2_s3032
shift_location_disagreement,False,False,True,a Navajo wool rug,"a Navajo wool rug with a woven flat surface and red, black, gray, and cream geometry, showing stepped diamonds and serrated bands",a Kyrgyz shyrdak felt rug,"a Kyrgyz shyrdak felt rug made from cut and inlaid wool felt in contrasting colors, showing mirrored horn motifs, scrolling forms, and outlined geometry",4,2,True,True,False,True,2022,pair_088_native_SS_g2_r2_s2022,pair_088,88,2,5,True,True,True,True,2,sample_0030,2,pair_088_standalone_A_g2_r2_s2022,pair_088_standalone_B_g2_r2_s2022
composition_mechanism_failure,True,False,True,an Indonesian ikat textile panel,"an Indonesian ikat textile panel woven from resist-dyed threads with feathered edges, showing diamonds, ancestor figures, and rhythmic color bands",an Iban pua kumbu textile panel,"an Iban pua kumbu textile panel woven in warp ikat with deep red, black, and cream yarns, showing powerful hooked figures, spirit motifs, and mirrored geometric bands",3,2,True,True,False,True,2023,pair_068_native_SS_g2_r3_s2023,pair_068,68,3,4,True,True,True,True,3,sample_0041,2,pair_068_standalone_A_g2_r3_s2023,pair_068_standalone_B_g2_r3_s2023
knowledge_insufficiency,True,False,True,an Ottoman tinned-copper ewer,"an Ottoman tinned-copper ewer with a reflective silver-toned tinned surface, tall curved spout, and chased tulip, cypress, and arabesque decoration",a Bosnian engraved-copper coffee ewer,"a Bosnian engraved-copper coffee ewer with a copper body, long curved spout, and hand-hammered rosette, star, and interlaced geometric motifs",2,3,True,False,True,True,3031,pair_052_native_SS_g3_r1_s3031,pair_052,52,2,4,True,False,True,True,1,sample_0047,3,pair_052_standalone_A_g3_r1_s3031,pair_052_standalone_B_g3_r1_s3031
composition_mechanism_failure,True,False,True,a Moroccan Fes ceramic bowl,"a Moroccan Fes ceramic bowl with a white glazed body painted in cobalt blue, green, and yellow, showing organized star, arabesque, and palmette motifs",an Algerian Kabyle pottery bowl,"an Algerian Kabyle pottery bowl made of hand-built earthenware with red, black, and white painted decoration, showing triangles, chevrons, and protective geometric signs",1,3,True,True,True,True,2022,pair_018_native_SS_g2_r2_s2022,pair_018,18,3,4,True,True,True,True,2,sample_0059,2,pair_018_standalone_A_g2_r2_s2022,pair_018_standalone_B_g2_r2_s2022
mixed_or_uncertain,True,False,True,a Chinese Jun ware ceramic bowl,"a Chinese Jun ware ceramic bowl with a thick opalescent blue glaze and irregular purple splashes, showing a simple rounded form and pooled color",a Japanese Hagi ware tea bowl,"a Japanese Hagi ware tea bowl with a porous stoneware body and milky white crackled glaze, showing a irregular foot and ash-toned surface",3,2,True,True,False,True,2021,pair_028_native_SS_g2_r1_s2021,pair_028,28,3,4,True,False,True,True,1,sample_0061,2,pair_028_standalone_A_g2_r1_s2021,pair_028_standalone_B_g2_r1_s2021
knowledge_insufficiency,True,True,True,a Japanese Raku tea bowl,"a Japanese Raku tea bowl with a hand-shaped low-fired body and irregular black glaze, showing a warped rim and tactile matte-to-gloss surface",a Korean buncheong tea bowl,"a Korean buncheong tea bowl made of gray stoneware brushed with white slip, showing stamped, incised, or freely painted decoration beneath a translucent glaze",2,2,True,False,False,True,1011,pair_021_native_SS_g1_r1_s1011,pair_021,21,2,3,True,False,False,True,1,sample_0062,1,pair_021_standalone_A_g1_r1_s1011,pair_021_standalone_B_g1_r1_s1011
